CVE-2018-6910,DedeCMS 5.7 allows remote attackers to discover the full path via a direct request for include/downmix.inc.php or inc/inc_archives_functions.php,"word
status",,,,,"downmix.inc.php
           Call to undefined function helper()
200",,high,"https://nvd.nist.gov/vuln/detail/CVE-2018-6910
     https://github.com/kongxin520/DedeCMS/blob/master/DedeCMS_5.7_Bug.md
     https://kongxin.gitbook.io/dedecms-5-7-bug/",CWE-668,CVE-2018-6910,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:dedecms:dedecms:5.7:*:*:*:*:*:*:*,,"cve,cve2018,dedecms"
CVE-2018-7251,"|
    Anchor CMS 0.12.3 is susceptible to an error log exposure vulnerability due to an issue  in config/error.php. The error log is exposed at an errors.log URI, and contains MySQL credentials if a MySQL error (such as Too many connections) has occurred.",word,,,,,"date:'
           'message:'
           'trace:['",,critical,"https://github.com/anchorcms/anchor-cms/issues/1247
     https://twitter.com/finnwea/status/965279233030393856
     http://packetstormsecurity.com/files/154723/Anchor-CMS-0.12.3a-Information-Disclosure.html
     https://github.com/anchorcms/anchor-cms/releases/tag/0.12.7
     https://nvd.nist.gov/vuln/detail/CVE-2018-7251",CWE-200,CVE-2018-7251,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:anchorcms:anchor:0.12.3:*:*:*:*:*:*:*,,"cve,cve2018,anchorcms,logs,error,packetstorm"
CVE-2018-7282,"|
    The username parameter of the TITool PrintMonitor solution during the login request is vulnerable to and/or time-based blind SQLi.
  remediation: Upgrade to PM18.2.1.",dsl,,,,,"duration>=6'
           'status_code == 200'
           'contains(body, PrintMonitor) && contains(header, text/html)'",,critical,"https://fenceposterror.github.io/cve-2018-7282.txt
     https://nvd.nist.gov/vuln/detail/CVE-2018-7282
     http://print.com
     http://ti-tool.com",CWE-89,CVE-2018-7282,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:titool:printmonitor:*:*:*:*:*:*:*:*,,"cve,cve2018,sqli,printmonitor,unauth"
CVE-2018-7422,"|
    WordPress Site Editor through 1.1.1 allows remote attackers to retrieve arbitrary files via the ajax_path parameter to editor/extensions/pagebuilder/includes/ajax_shortcode_pattern.php.","word
regex",,,,,"DB_NAME
           DB_PASSWORD
root:.*:0:0:",,high,"https://www.exploit-db.com/exploits/44340
     http://seclists.org/fulldisclosure/2018/Mar/40
     https://wpvulndb.com/vulnerabilities/9044
     https://nvd.nist.gov/vuln/detail/CVE-2018-7422",CWE-22,CVE-2018-7422,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:siteeditor:site_editor:*:*:*:*:*:wordpress:*:*,,"cve,cve2018,wordpress,wp-plugin,lfi,edb,seclists"
CVE-2018-7467,AxxonSoft Axxon Next suffers from a local file inclusion vulnerability.,word,,,,,"bit app support
           fonts
           extensions",,high,"https://packetstormsecurity.com/files/146604/AxxonSoft-Axxon-Next-Directory-Traversal.html
     https://github.com/sullo/advisory-archives/blob/master/axxonsoft-next-CVE-2018-7467.txt
     https://nvd.nist.gov/vuln/detail/CVE-2018-7467
     http://www.projectxit.com.au/blog/2018/2/27/axxonsoft-client-directory-traversal-cve-2018-7467-axxonsoft-axxon-next-axxonsoft-client-directory-traversal-via-an-initial-css2f-substring-in-a-uri-cve-2018-7467",CWE-22,CVE-2018-7467,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:axxonsoft:next:-:*:*:*:*:*:*:*,,"axxonsoft,lfi,packetstorm,cve,cve2018"
CVE-2018-7490,"uWSGI PHP Plugin before 2.0.17 mishandles a DOCUMENT_ROOT check during use of the --php-docroot option, making it susceptible to local file inclusion.","regex
status",,,,,"root:.*:0:0:
200",,high,"https://uwsgi-docs.readthedocs.io/en/latest/Changelog-2.0.17.html
     https://www.exploit-db.com/exploits/44223/
     https://www.debian.org/security/2018/dsa-4142
     https://nvd.nist.gov/vuln/detail/CVE-2018-7490",CWE-22,CVE-2018-7490,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:unbit:uwsgi:*:*:*:*:*:*:*:*,,"cve,cve2018,uwsgi,php,lfi,plugin,edb"
CVE-2018-7600,"Drupal before 7.58, 8.x before 8.3.9, 8.4.x before 8.4.6, and 8.5.x before 8.5.1 allows remote attackers to execute arbitrary code because of an issue affecting multiple subsystems with default or common module configurations.","word
regex
status",,,,,"application/json
root:.*:0:0:
200",,critical,"https://github.com/vulhub/vulhub/tree/master/drupal/CVE-2018-7600
     https://nvd.nist.gov/vuln/detail/CVE-2018-7600
     https://www.drupal.org/sa-core-2018-002
     https://groups.drupal.org/security/faq-2018-002
     http://www.securitytracker.com/id/1040598",CWE-20,CVE-2018-7600,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:drupal:drupal:*:*:*:*:*:*:*:*,,"cve,cve2018,drupal,rce,kev,vulhub,intrusive"
CVE-2018-7602,"Drupal 7.x and 8.x contain a remote code execution vulnerability that exists within multiple subsystems. This potentially allows attackers to exploit multiple attack vectors on a Drupal site, which could result in the site being compromised. This vulnerability is related to Drupal core - Highly critical - Remote Code Execution - SA-CORE-2018-002. Both SA-CORE-2018-002 and this vulnerability are being exploited in the wild.",word,"regex
regex
regex",,,,"CVE-2018-7602-POC'
'<meta about=([/a-z0-9]+) property=foaf'
'<input type=hidden name=form_token value=(.*) />'
'<input type=hidden name=form_build_id value=(.*) />'",,critical,"https://github.com/vulhub/vulhub/blob/master/drupal/CVE-2018-7602/drupa7-CVE-2018-7602.py
     https://nvd.nist.gov/vuln/detail/CVE-2018-7602
     https://www.drupal.org/sa-core-2018-004
     https://www.exploit-db.com/exploits/44557/
     http://www.securitytracker.com/id/1040754",,CVE-2018-7602,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:drupal:drupal:*:*:*:*:*:*:*:*,,"cve2018,drupal,authenticated,kev,vulhub,edb,cve"
CVE-2018-7653,"In YzmCMS 3.6, index.php has XSS via the a, c, or m parameter.","word
word
status",,,,,"<img src=a onerror=alert(document.domain)>'
           'YzmCMS'
text/html
200",,medium," https://packetstormsecurity.com/files/147065/YzmCMS-3.6-Cross-Site-Scripting.html
     https://nvd.nist.gov/vuln/detail/CVE-2018-7653
     https://github.com/ponyma233/YzmCMS/blob/master/YzmCMS_3.6_bug.md",CWE-79,CVE-2018-7653,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:yzmcms:yzmcms:3.6:*:*:*:*:*:*:*,,"packetstorm,cve,cve2018,yzmcms,cms,xss"
CVE-2018-7662,CouchCMS <= 2.0 allows remote attackers to discover the full path via a direct request to includes/mysql2i/mysql2i.func.php or addons/phpmailer/phpmailer.php.,"word
word",,,,,"mysql2i.func.php on line 10
           Fatal error: Cannot redeclare mysql_affected_rows() in
phpmailer.php on line 10
           Fatal error: Call to a menber function add_event_listener() on a non-object in",,medium,"https://github.com/CouchCMS/CouchCMS/issues/46
     https://nvd.nist.gov/vuln/detail/CVE-2018-7662",CWE-200,CVE-2018-7662, CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,cpe:2.3:a:couchcms:couch:*:*:*:*:*:*:*:*,,"couchcms,fpd,cve,cve2018"
CVE-2018-7700,"|
    DedeCMS 5.7SP2 is susceptible to cross-site request forgery with a corresponding impact of arbitrary code execution because the partcode parameter in a tag_test_action.php request can specify a runphp field in conjunction with PHP code.","word
status",,,,,"4cc32a3a81d2bb37271934a48ce4468a
200",,high,"https://laworigin.github.io/2018/03/07/CVE-2018-7700-dedecms%E5%90%8E%E5%8F%B0%E4%BB%BB%E6%84%8F%E4%BB%A3%E7%A0%81%E6%89%A7%E8%A1%8C/
     https://nvd.nist.gov/vuln/detail/CVE-2018-7700",CWE-352,CVE-2018-7700,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,8.8,cpe:2.3:a:dedecms:dedecms:5.7:*:*:*:*:*:*:*,,"cve,cve2018,dedecms,rce"
CVE-2018-7719,"|
    Acrolinx Server prior to 5.2.5 suffers from a local file inclusion vulnerability.",word,,,,,"bit app support
           fonts
           extensions",,high,"https://packetstormsecurity.com/files/146911/Acrolinx-Server-Directory-Traversal.html
     https://support.acrolinx.com/hc/en-us/articles/213987685-Acrolinx-Server-Version-5-1-including-subsequent-service-releases-
     https://www.exploit-db.com/exploits/44345/
     https://nvd.nist.gov/vuln/detail/CVE-2018-7719",CWE-22,CVE-2018-7719,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:acrolinx:acrolinx_server:*:*:*:*:*:*:*:*,,"cve,cve2018,acrolinx,lfi,packetstorm,edb"
CVE-2018-8006,Apache ActiveMQ versions 5.0.0 to 5.15.5 are vulnerable to cross-site scripting via the web based administration console on the queue.jsp page. The root cause of this issue is improper data filtering of the QueueFilter parameter.,"word
word
status",,,,,"><script>alert(1)</script>'
/html
200",,medium,"http://activemq.apache.org/security-advisories.data/CVE-2018-8006-announcement.txt
     https://lists.apache.org/thread.html/2b5c0039197a4949f29e1e2c9441ab38d242946b966f61c110808bcc@%3Ccommits.activemq.apache.org%3E
     https://lists.apache.org/thread.html/fcbe6ad00f1de142148c20d813fae3765dc4274955e3e2f3ca19ff7b@%3Cdev.activemq.apache.org%3E
     https://lists.apache.org/thread.html/a859563f05fbe7c31916b3178c2697165bd9bbf5a65d1cf62aef27d2@%3Ccommits.activemq.apache.org%3E
     https://lists.apache.org/thread.html/03f91b1fb85686a848cee6b90112cf6059bd1b21b23bacaa11a962e1@%3Cdev.activemq.apache.org%3E
     https://lists.apache.org/thread.html/3f1e41bc9153936e065ca3094bd89ff8167ad2d39ac0b410f24382d2@%3Cgitbox.activemq.apache.org%3E
     https://lists.apache.org/thread.html/c0ec53b72b3240b187afb1cf67e4309a9e5f607282010aa196734814@%3Cgitbox.activemq.apache.org%3E
     https://lists.apache.org/thread.html/rb698ed085f79e56146ca24ab359c9ef95846618675ea1ef402e04a6d@%3Ccommits.activemq.apache.org%3E
     https://lists.apache.org/thread.html/r946488fb942fd35c6a6e0359f52504a558ed438574a8f14d36d7dcd7@%3Ccommits.activemq.apache.org%3E
     https://nvd.nist.gov/vuln/detail/CVE-2018-8006",CWE-79,CVE-2018-8006,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:apache:activemq:*:*:*:*:*:*:*:*,,"cve,cve2018,apache,activemq,xss"
CVE-2018-8033,"|
    Apache OFBiz 16.11.04 is susceptible to XML external entity injection (XXE injection).","regex
status",,,,,"root:.*:0:0:
200",,high,"https://lists.apache.org/thread.html/e8fb551e86e901932081f81ee9985bb72052b4d412f23d89b1282777@%3Cuser.ofbiz.apache.org%3E
     https://nvd.nist.gov/vuln/detail/CVE-2018-8033",CWE-200,CVE-2018-8033,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:apache:ofbiz:*:*:*:*:*:*:*:*,,"cve,cve2018,apache,ofbiz,xxe"
CVE-2018-8715,"The Embedthis HTTP library, and Appweb versions before 7.0.3, have a logic flaw related to the authCondition function in http/httpLib.c. With a forged HTTP request, it is possible to bypass authentication for the form and digest login types.","word
status",,,,,"<a class=logo href=https://embedthis.com/>&nbsp;</a>'
200",,high,"https://github.com/embedthis/appweb/issues/610
     https://blogs.securiteam.com/index.php/archives/3676
     https://security.paloaltonetworks.com/CVE-2018-8715
     https://nvd.nist.gov/vuln/detail/CVE-2018-8715",CWE-287,CVE-2018-8715,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,8.1,cpe:2.3:a:embedthis:appweb:*:*:*:*:*:*:*:*,,"cve,cve2018,appweb,auth-bypass"
CVE-2018-8719,"|
    WordPress WP Security Audit Log 3.1.1 plugin is susceptible to information disclosure. Access to wp-content/uploads/wp-security-audit-log/* files is not restricted. An attacker can obtain sensitive information, modify data, and/or execute unauthorized operations.","word
status",,,,,"[TXT]
           .log
           Index of
200",,medium,"https://www.exploit-db.com/exploits/44371
     https://vuldb.com/?id.115817
     https://www.exploit-db.com/exploits/44371/
     https://nvd.nist.gov/vuln/detail/CVE-2018-8719",CWE-532,CVE-2018-8719,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,cpe:2.3:a:wpsecurityauditlog:wp_security_audit_log:3.1.1:*:*:*:*:wordpress:*:*,,"cve2018,exposure,edb,wordpress,wp-plugin,cve"
CVE-2018-8727,"|
    Mirasys DVMS Workstation versions 5.12.6 and prior suffer from local file inclusion vulnerabilities.",word,,,,,"bit app support
           fonts
           extensions",,high,"https://packetstormsecurity.com/files/148266/Mirasys-DVMS-Workstation-5.12.6-Path-Traversal.html
     https://www.onvio.nl/nieuws/cve-mirasys-vulnerability
     https://nvd.nist.gov/vuln/detail/CVE-2018-8727",CWE-22,CVE-2018-8727,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:mirasys:dvms_workstation:*:*:*:*:*:*:*:*,,"cve,cve2018,mirasys,lfi,packetstorm"
CVE-2018-8770,"Cobub Razor 0.8.0 is susceptible to information disclosure via generate.php, controllers/getConfigTest.php, controllers/getUpdateTest.php, controllers/postclientdataTest.php, controllers/posterrorTest.php, controllers/posteventTest.php, controllers/posttagTest.php, controllers/postusinglogTest.php, fixtures/Controller_fixt.php, fixtures/Controller_fixt2.php, fixtures/view_fixt2.php, libs/ipTest.php, or models/commonDbfix.php. An attacker can obtain sensitive information, modify data, and/or execute unauthorized operations.","word
status",,,,,"Fatal error: Class 'PHPUnit_Framework_TestCase' not found in 
           /application/third_party/CIUnit/libraries/CIUnitTestCase.php on line
200",,medium,"http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-8770
     https://www.exploit-db.com/exploits/44495/
     https://github.com/Kyhvedn/CVE_Description/blob/master/Cobub_Razor_0.8.0_more_physical_path_leakage.md
     https://nvd.nist.gov/vuln/detail/CVE-2018-8770",CWE-200,CVE-2018-8770,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,cpe:2.3:a:cobub:razor:0.8.0:*:*:*:*:*:*:*,,"cve,cve2018,cobub,razor,exposure,edb"
CVE-2018-9118,"|
    WordPress 99 Robots WP Background Takeover Advertisements 4.1.4 is susceptible to local file inclusion via exports/download.php.",word,,,,,"DB_NAME
           DB_PASSWORD
           DB_HOST
           The base configurations of the WordPress",,high,"https://www.exploit-db.com/exploits/44417
     https://wpvulndb.com/vulnerabilities/9056
     https://99robots.com/docs/wp-background-takeover-advertisements/
     https://nvd.nist.gov/vuln/detail/CVE-2018-9118",CWE-22,CVE-2018-9118,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:99robots:wp_background_takeover_advertisements:*:*:*:*:*:wordpress:*:*,,"edb,cve,cve2018,wordpress,wp-plugin,lfi,traversal,wp"
CVE-2018-9161,PrismaWEB is susceptible to credential disclosure. The vulnerability exists due to the disclosure of hard-coded credentials allowing an attacker to effectively bypass authentication of PrismaWEB with administrator privileges. The credentials can be disclosed by simply navigating to the login_par.js JavaScript page that holds the username and password for the management interface that are being used via the Login() function in /scripts/functions_cookie.js script.,"word
status",,,,,"txtChkUser'
           'txtChkPassword'
200",,critical,"https://www.zeroscience.mk/en/vulnerabilities/ZSL-2018-5453.php
     https://nvd.nist.gov/vuln/detail/CVE-2018-9161
     https://www.exploit-db.com/exploits/44276/",CWE-798,CVE-2018-9161,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:prismaindustriale:checkweigher_prismaweb:1.21:*:*:*:*:*:*:*,,"cve,cve2018,prismaweb,exposure,edb"
CVE-2018-9205,"In avatar_uploader v7.x-1.0-beta8 the view.php program doesn't restrict file paths, allowing unauthenticated users to retrieve arbitrary files.","regex
status",,,,,"root:.*:0:0:
200",,high,"https://www.exploit-db.com/exploits/44501
     https://nvd.nist.gov/vuln/detail/CVE-2018-9205
     https://www.drupal.org/project/avatar_uploader/issues/2957966
     https://www.drupal.org/project/avatar_uploader",CWE-22,CVE-2018-9205,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,7.5,cpe:2.3:a:drupal:avatar_uploader:7.x-1.0:beta8:*:*:*:*:*:*,,"cve,cve2018,lfi,drupal,edb"
CVE-2018-9845,Etherpad Lite before 1.6.4 is exploitable for admin access.,"word
status",,,,,"Etherpad version
           Plugin manager
           Installed parts
200",,critical,"https://infosecwriteups.com/account-takeovers-believe-the-unbelievable-bb98a0c251a4
     https://github.com/ether/etherpad-lite/commit/ffe24c3dd93efc73e0cbf924db9a0cc40be9511b
     https://nvd.nist.gov/vuln/detail/CVE-2018-9845
     https://github.com/ether/etherpad-lite/blob/develop/CHANGELOG.md",CWE-178,CVE-2018-9845,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:etherpad:etherpad_lite:*:*:*:*:*:*:*:*,,"cve,cve2018,etherpad,auth-bypass"
CVE-2018-9995,"|
    TBK DVR4104 and DVR4216 devices, as well as Novo, CeNova, QSee, Pulnix, XVR 5 in 1, Securus, Night OWL, DVR Login, HVR Login, and
    MDVR Login, which run re-branded versions of the original TBK DVR4104 and DVR4216 series, allow remote attackers to bypass
    authentication via a Cookie: uid=admin header, as demonstrated by a device.rsp?opt=user&cmd=list request that provides credentials within JSON data in a response.","word
status",,,,,"\uid\:
           \pwd\:
           \view\:
           playback
200",,critical,"https://www.exploit-db.com/exploits/44577/
     http://misteralfa-hack.blogspot.cl/2018/04/tbk-vision-dvr-login-bypass.html
     http://misteralfa-hack.blogspot.cl/2018/04/update-dvr-login-bypass-cve-2018-9995.html
     https://www.bleepingcomputer.com/news/security/new-hacking-tool-lets-users-access-a-bunch-of-dvrs-and-their-video-feeds/
     https://nvd.nist.gov/vuln/detail/CVE-2018-9995",,CVE-2018-9995,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:o:tbkvision:tbk-dvr4216_firmware:-:*:*:*:*:*:*:*,,"cve,cve2018,auth-bypass,tbk,edb"
CVE-2019-0193,"|
    Apache Solr is vulnerable to remote code execution vulnerabilities via the DataImportHandler, an optional but popular module to pull in data from databases and other sources. The module has a feature in which the whole DIH configuration can come from a request's dataConfig parameter. The debug mode of the DIH admin screen uses this to allow convenient debugging / development of a DIH config. Since a DIH config can contain scripts, this parameter is a security risk.","word
word",regex,,,,"http
User-Agent: curl
'name\:(.*?)'",,high,"https://github.com/vulhub/vulhub/tree/master/solr/CVE-2019-0193
     https://paper.seebug.org/1009/
     https://issues.apache.org/jira/browse/SOLR-13669
     https://nvd.nist.gov/vuln/detail/CVE-2019-0193
     https://lists.apache.org/thread.html/1addbb49a1fc0947fb32ca663d76d93cfaade35a4848a76d4b4ded9c@%3Cissues.lucene.apache.org%3E",CWE-94,CVE-2019-0193,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,7.2,cpe:2.3:a:apache:solr:*:*:*:*:*:*:*:*,,"cve2019,apache,rce,solr,oast,kev,vulhub,cve"
CVE-2019-0221,"|
    Apache Tomcat 9.0.0.M1 to 9.0.0.17, 8.5.0 to 8.5.39, and 7.0.0 to 7.0.93 are vulnerable to cross-site scripting because the SSI printenv command echoes user provided data without escaping. Note: SSI is disabled by default. The printenv command is intended for debugging and is unlikely to be present in a production website.","word
word
status",,,,,"QUERY_STRING_UNESCAPED={{payload}}
text/html
200",,medium,"https://seclists.org/fulldisclosure/2019/May/50
     https://wwws.nightwatchcybersecurity.com/2019/05/27/xss-in-ssi-printenv-command-apache-tomcat-cve-2019-0221/
     https://www.exploit-db.com/exploits/50119
     https://lists.apache.org/thread.html/6e6e9eacf7b28fd63d249711e9d3ccd4e0a83f556e324aee37be5a8c@%3Cannounce.tomcat.apache.org%3E
     https://nvd.nist.gov/vuln/detail/CVE-2019-0221",CWE-79,CVE-2019-0221,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:apache:tomcat:*:*:*:*:*:*:*:*,,"apache,xss,tomcat,seclists,edb,cve,cve2019"
CVE-2019-0230,"Apache Struts 2.0.0 to 2.5.20 forced double OGNL evaluation when evaluated on raw user input in tag attributes, which may lead to remote code execution.",word,,,,,{{str}}16384,,critical,"https://nvd.nist.gov/vuln/detail/CVE-2019-0230
     https://cwiki.apache.org/confluence/display/WW/S2-059
     https://www.tenable.com/blog/cve-2019-0230-apache-struts-potential-remote-code-execution-vulnerability
     http://packetstormsecurity.com/files/160108/Apache-Struts-2.5.20-Double-OGNL-Evaluation.html
     https://cwiki.apache.org/confluence/display/ww/s2-059",CWE-1321,CVE-2019-0230,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:apache:struts:*:*:*:*:*:*:*:*,,"tenable,packetstorm,struts,rce,cve,cve2019,apache"
CVE-2019-10068,Kentico CMS is susceptible to remote code execution via a .NET deserialization vulnerability.,"word
status",,,,,"System.InvalidCastException'
           'System.Web.Services.Protocols.SoapException'
500",,critical,"https://www.aon.com/cyber-solutions/aon_cyber_labs/unauthenticated-remote-code-execution-in-kentico-cms/
     https://packetstormsecurity.com/files/157588/Kentico-CMS-12.0.14-Remote-Command-Execution.html
     https://nvd.nist.gov/vuln/detail/CVE-2019-10068
     https://github.com/rapid7/metasploit-framework/pull/13107
     http://packetstormsecurity.com/files/157588/Kentico-CMS-12.0.14-Remote-Command-Execution.html",CWE-502,CVE-2019-10068,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:kentico:kentico:*:*:*:*:*:*:*:*,,"cve2019,kentico,iis,packetstorm,cve,rce,deserialization,kev,msf"
CVE-2019-10092,Apache HTTP Server versions 2.4.0 through 2.4.39 are vulnerable to a limited cross-site scripting issue affecting the mod_proxy error page. An attacker could cause the link on the error page to be malformed and instead point to a page of their choice. This would only be exploitable where a server was set up with proxying enabled but was misconfigured in such a way that the Proxy Error page was displayed.,word,,,,,<a href=\/\\google.com/evil.html\>,,medium,"https://github.com/DrunkenShells/Disclosures/tree/master/CVE-2019-10092-Limited%20Cross-Site%20Scripting%20in%20mod_proxy%20Error%20Page-Apache%20httpd
     https://httpd.apache.org/security/vulnerabilities_24.html
     https://lists.debian.org/debian-lts-announce/2019/09/msg00034.html
     https://nvd.nist.gov/vuln/detail/CVE-2019-10092
     http://lists.opensuse.org/opensuse-security-announce/2019-09/msg00004.html",CWE-79,CVE-2019-10092,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:apache:http_server:*:*:*:*:*:*:*:*,,"cve,cve2019,apache,htmli,injection"
CVE-2019-10098,"|
    In Apache HTTP server 2.4.0 to 2.4.39, Redirects configured with mod_rewrite that were intended to be self-referential might be fooled by encoded newlines and redirect instead to an unexpected URL within the request URL.",regex,,,,,(?m)^(?:Location\s*?:\s*?)(?:https?:\/\/|\/\/|\/\\\\|\/\\)?(?:[a-zA-Z0-9\-_\.@]*)interact\.sh\/?(\/|[^.].*)?$',,medium,"https://www.exploit-db.com/exploits/47689
     https://nvd.nist.gov/vuln/detail/CVE-2019-10098
     https://www.openwall.com/lists/oss-security/2020/04/01/4
     https://httpd.apache.org/security/vulnerabilities_24.html
     https://www.oracle.com/security-alerts/cpuapr2021.html
     https://www.oracle.com/security-alerts/cpuoct2019.html",CWE-601,CVE-2019-10098,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:apache:http_server:*:*:*:*:*:*:*:*,,"cve,cve2019,redirect,apache,server"
CVE-2019-1010287,"Timesheet Next Gen 1.5.3 and earlier is vulnerable to cross-site scripting that allows an attacker to execute arbitrary HTML and JavaScript code via a redirect parameter. The component is: Web login form: login.php, lines 40 and 54. The attack vector is: reflected XSS, victim may click the malicious url.'","word
status",,,,,"><script>javascript:alert(document.domain)</script>'
200",,medium,"http://www.mdh-tz.info/
     https://sourceforge.net/p/tsheetx/discussion/779083/thread/7fcb52f696/
     https://sourceforge.net/p/tsheetx/code/497/tree/branches/legacy/login.php#l40
     https://nvd.nist.gov/vuln/detail/CVE-2019-1010287",CWE-79,CVE-2019-1010287,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:timesheet_next_gen_project:timesheet_next_gen:*:*:*:*:*:*:*:*,,"cve,cve2019,timesheet,xss"
CVE-2019-1010290,"Babel contains an open redirect vulnerability via redirect.php in the newurl parameter. An attacker can use any legitimate site using Babel to redirect user to a malicious site, thus possibly obtaining sensitive information, modifying data, and/or executing unauthorized operations.",regex,,,,,(?m)^(?:Location\s*?:\s*?)(?:https?:\/\/|\/\/|\/\\\\|\/\\)(?:[a-zA-Z0-9\-_\.@]*)interact\.sh\/?(\/|[^.].*)?$',,medium,"https://untrustednetwork.net/en/2019/02/20/open-redirection-vulnerability-in-babel/
     http://dev.cmsmadesimple.org/project/files/729
     https://nvd.nist.gov/vuln/detail/CVE-2019-1010290",CWE-601,CVE-2019-1010290,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,6.1,cpe:2.3:a:cmsmadesimple:bable\:multilingual_site:*:*:*:*:*:cms_made_simple:*:*,,"cve,cve2019,redirect,babel"
CVE-2019-10232,"Teclib GLPI <= 9.3.3 exposes a script (/scripts/unlock_tasks.php) that incorrectly sanitizes user controlled data before using it in SQL queries. Thus, an attacker could abuse the affected feature to alter the semantic original SQL query and retrieve database records.",word,regex,,,,"-MariaDB-
           Start unlock script
[0-9]{1,2}.[0-9]{1,2}.[0-9]{1,2}-MariaDB",,critical,"https://www.synacktiv.com/ressources/advisories/GLPI_9.3.3_SQL_Injection.pdf
     https://github.com/glpi-project/glpi/commit/684d4fc423652ec7dde21cac4d41c2df53f56b3c
     https://nvd.nist.gov/vuln/detail/CVE-2019-10232",CWE-89,CVE-2019-10232,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,cpe:2.3:a:teclib-edition:gestionnaire_libre_de_parc_informatique:*:*:*:*:*:*:*:*,,"cve,cve2019,glpi,sqli,injection"
CVE-2019-10405,"Jenkins through 2.196, LTS 2.176.3 and earlier prints the value of the cookie on the /whoAmI/ URL despite it being marked HttpOnly, thus making it possible to steal cookie-based authentication credentials if the URL is exposed or accessed via another cross-site scripting issue.","word
word
status",kval,,,,"text/html'
           'x-jenkins'
'Cookie'
           'JSESSIONID'
200
x_jenkins",,medium,"https://jenkins.io/security/advisory/2019-09-25/#SECURITY-1505
     http://www.openwall.com/lists/oss-security/2019/09/25/3
     https://nvd.nist.gov/vuln/detail/CVE-2019-10405",CWE-79,CVE-2019-10405,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,5.4,cpe:2.3:a:jenkins:jenkins:*:*:*:*:lts:*:*:*,,"cve,cve2019,jenkins"
